index,funno,ihono,bias
0,1,1,0
1,1,3,0.141484672953444
2,1,3,-0.0671785494579878
3,1,3,-0.438146539401666
4,1,3,0.413841859612316
5,1,3,-0.487169543248109
6,2,3,-0.215047724025661
7,2,3,0.254134685872808
8,2,3,-0.0679157992772563
9,2,3,-0.292505542247625
10,2,3,-0.476417065728293
11,2,3,0.256065996917141
12,4,3,-0.485364379677684
13,4,3,-0.516328291268212
14,4,3,0.0140537302070364
15,4,3,-0.136406692174664
16,7,3,0.273889120907253
17,7,3,-0.196301446340602
18,7,3,0.244217263584559
19,7,3,-0.369639804902854
20,7,3,-0.315531349029114
21,7,3,-0.185328214028482
22,1,2,-0.091148922499254
