index,funno,ihono,bias
0,1,1,0
1,1,3,0.181121060701539
2,1,3,-0.123099736341378
3,1,3,-0.356270914521483
4,2,3,0.473666789312396
5,2,3,-0.408630994800534
6,2,3,-0.211639275557937
7,4,3,0.293925526652918
8,4,3,-0.0743467447453527
9,4,3,-0.285545413887171
10,4,3,-0.489689587849133
11,7,3,0.167179039660127
12,7,3,-0.479628550815854
13,7,3,-0.481357275586635
14,7,3,0.00318906394468003
15,7,3,-0.122731676356208
16,7,3,-0.243679897257455
17,7,3,0.105700658539684
18,7,3,-0.275738702199459
19,7,3,0.23192666994843
20,7,3,-0.382531353995191
21,7,3,-0.401739614593464
22,7,3,-0.179590258142066
23,1,2,-0.109314332272294
