kind,id,src,dst,funno,bias,weight
neuron,0,,,1,0,
neuron,1,,,1,0,
neuron,2,,,4,0.39181314392874,
neuron,3,,,1,0,
edge,,0,2,,-9.51693738142721
edge,,1,2,,-9.51693738142721
edge,,2,3,,1
