epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.152692675710528,0.15874349292174,0.698412698412698,0.692307692307692,24,276,0.05,3
50,0.000250084881711472,0.000164620350795951,1,1,24,276,0.05,3
100,0.000178387133644556,0.000113021221640416,1,1,24,276,0.05,3
150,0.00018557586737731,0.00016292855274917,1,1,24,276,0.05,3
200,0.000168103910794152,8.32867719707374E-05,1,1,24,276,0.05,3
250,0.000385512023392668,0.000221368947865393,0.984126984126984,1,24,276,0.05,3
300,0.000148499085655025,0.000113617531857175,1,1,24,276,0.05,3
350,0.000394884238454289,0.00042583923232307,1,1,24,276,0.05,3
400,0.000140252378591113,0.000109527722986411,1,1,24,276,0.05,3
