index,funno,ihono,bias
0,1,1,0
1,1,3,-0.266139476313393
2,1,3,0.0425296648020962
3,1,3,-0.184282707531194
4,2,3,0.102145936564281
5,2,3,-0.0573774829836674
6,2,3,0.412014052371117
7,4,3,-0.383136628912317
8,4,3,0.435325726002808
9,4,3,0.0738891343567887
10,4,3,-0.440861870735093
11,7,3,0.463920278543516
12,7,3,-0.100275999579703
13,7,3,-0.457848095698059
14,7,3,-0.247376238925821
15,7,3,-0.0921143752769181
16,7,3,-0.392484840641392
17,7,3,0.465439092472858
18,7,3,-0.316986186185047
19,7,3,0.301737499096852
20,7,3,-0.190285420547543
21,7,3,0.0860261947635437
22,7,3,-0.477561531074946
23,1,2,0.566249979536846
