index,src,dst,weight
0,0,1,-0.535485645092356
1,0,2,-0.622482961502218
2,0,3,-0.689298293260934
3,0,4,0.45929216077189
4,0,5,-0.607836796822204
5,0,8,0.715218425841967
6,0,9,-0.334399412785715
7,0,11,-0.393197068073504
8,0,12,-0.443669052228785
9,0,13,0.297981927971259
10,1,4,0.412781306155523
11,1,6,0.346339843414955
12,1,7,0.344462343915209
13,1,10,0.359639411648009
14,1,12,-0.349564111720031
15,2,8,0.35541080744949
16,2,10,0.318044099995419
17,2,12,-0.327672781708416
18,2,13,0.371706235324236
19,3,8,-0.361738429499991
20,3,10,-0.31642116058194
21,3,13,-0.589874372794285
22,4,9,0.351822372816063
23,4,10,-0.325088319166962
24,4,11,-0.364074236674099
25,4,13,0.501732017881798
26,5,9,0.300202414901448
27,5,11,0.351953890437561
28,5,13,-0.46460656793795
29,6,7,0.388611754658201
30,7,8,0.302304362265177
31,7,10,0.352482352918891
32,7,11,0.42704928232828
33,7,12,0.352106738029741
34,8,10,0.352994792063573
35,8,12,-0.423812473135882
36,8,13,0.614484280220398
37,9,10,-0.49286385420056
38,9,12,0.420938033409425
39,10,13,0.463788444500915
40,11,12,-0.338070559193599
41,11,13,-0.431054279859449
42,12,13,-0.713347487643072
