attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,0.000236010536590499,0.0002977888756132,0.261760936249606,0,2000
2,69,276,276,0.000236010536590499,0.00037352748559695,0.582672922120655,0,2000
3,34,276,276,0.000236010536590499,0.000259724953460492,0.100480331143603,0,2000
4,17,276,240,0.000236010536590499,0.000227506145079308,-0.0360339484586112,1,2000
5,17,240,223,0.000236010536590499,0.000226789477355295,-0.039070540529315,1,2000
6,17,223,223,0.000236010536590499,0.000272724747979022,0.155561747025834,0,2000
7,8,223,215,0.000236010536590499,0.000233081537867889,-0.0124104574521286,1,2000
8,8,215,215,0.000236010536590499,0.000287765597111168,0.219291313296189,0,2000
9,4,215,211,0.000236010536590499,0.000217706487959327,-0.0775560654858868,1,2000
10,4,211,207,0.000236010536590499,0.000254634778818727,0.0789127574441414,1,2000
11,4,207,203,0.000236010536590499,0.000241230940185297,0.022119366661393,1,2000
12,4,203,203,0.000236010536590499,0.000357570398692162,0.515061165733378,0,2000
13,2,203,201,0.000236010536590499,0.000221417752621121,-0.0618310698335393,1,2000
14,2,201,201,0.000236010536590499,0.000423111873439703,0.792766880462809,0,2000
15,1,201,200,0.000236010536590499,0.000245116014620052,0.038580811522628,1,2000
16,1,200,200,0.000236010536590499,0.000288003756335847,0.220300417500259,0,2000
