attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,149,299,150,0.0476792211334712,0.0442920769377081,-0.0710402585285795,1,2000
2,149,150,150,0.0476792211334712,0.0930611645272333,0.951818052285748,0,2000
3,74,150,58,0.0476792211334712,0.0501620510649039,0.052073626045239,1,2000
4,74,58,58,0.0476792211334712,0.0931655388936756,0.954007147744126,0,2000
5,37,58,58,0.0476792211334712,0.0893814397488322,0.874641355793575,0,2000
6,18,58,31,0.0476792211334712,0.0507964859169945,0.0653799434935603,1,2000
7,18,31,31,0.0476792211334712,0.0937660944631884,0.966602898161937,0,2000
8,9,31,31,0.0476792211334712,0.0954073755471994,1.00102630200523,0,2000
9,4,31,31,0.0476792211334712,0.0585681164465926,0.228378212862149,0,2000
10,2,31,29,0.0476792211334712,0.0460234538134455,-0.03472723087046,1,2000
11,2,29,23,0.0476792211334712,0.0523757932049929,0.0985035401139269,1,2000
12,2,23,23,0.0476792211334712,0.108972322006058,1.28553066546547,0,2000
13,1,23,20,0.0476792211334712,0.0434696413986825,-0.0882896078147879,1,2000
14,1,20,20,0.0476792211334712,0.0526490120559827,0.104233894857452,0,2000
