attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,114,0.0016397454490387,0.00132475470243795,-0.192097344612487,1,10000
2,138,114,114,0.0016397454490387,0.40152478269331,243.870191851244,0,10000
3,69,114,9,0.0016397454490387,0.00127707569390415,-0.221174423961453,1,10000
4,69,9,9,0.0016397454490387,0.377672157950511,229.32365064463,0,10000
5,34,9,9,0.0016397454490387,0.4093229881437,248.625933332315,0,10000
6,17,9,9,0.0016397454490387,0.374343782714538,227.29383849426,0,10000
7,8,9,9,0.0016397454490387,0.370671657119788,225.05438992808,0,10000
8,4,9,4,0.0016397454490387,0.000839091520241276,-0.488279402920011,1,10000
9,4,4,4,0.0016397454490387,0.395219783346163,240.025083239512,0,10000
10,2,4,4,0.0016397454490387,0.366524286672265,222.525112929657,0,10000
11,1,4,4,0.0016397454490387,0.00203659692600366,0.242020172824765,0,10000
