r,A,r_scaled,A_scaled
120,45244,1,3.14194444444444
60,11304,0.5,0.785
80,20108,0.666666666666667,1.39638888888889
100,31428,0.833333333333333,2.1825
90,25448,0.75,1.76722222222222
