index,src,dst,weight
0,0,1,0.799972205876424
1,0,2,-0.550664450292841
2,0,3,-1.14335593320466
3,0,4,-0.895680485721101
4,0,5,-0.65472956197219
5,0,7,0.465227812621565
6,0,8,0.133427539576483
7,0,9,-0.616050006165173
8,0,10,-0.414534862815293
9,0,11,0.288214044109853
10,0,12,1.75158309443576
11,1,4,-0.181004704033737
12,1,5,-0.35518674296179
13,1,6,-0.217259994640014
14,1,8,-0.251199151580046
15,1,9,-0.395045149026639
16,1,11,-0.169445861479916
17,1,12,0.225913220611713
18,2,3,0.175083757705613
19,2,7,0.258618570987568
20,2,8,0.37138421081327
21,2,10,-0.129850571704089
22,2,12,-0.614604139476087
23,3,4,0.199799657993251
24,3,5,-0.48809080300623
25,3,6,-0.445917477629132
26,3,7,-0.253442089219859
27,3,8,-0.268377813121085
28,3,9,0.250418195204508
29,3,10,0.553414630410393
30,3,11,-0.261709312130655
31,3,12,-0.760139958431279
32,4,5,0.30132741119922
33,4,8,-0.224298514530644
34,4,9,0.495210556082024
35,4,10,0.20849362157238
36,4,11,-0.180288373285892
37,4,12,-0.226376550198856
38,5,6,-0.148297862513164
39,5,7,-0.230608648018402
40,5,8,-0.214079367293501
41,5,9,0.336300793084748
42,5,12,-0.232829346923125
43,6,8,-0.553246416003283
44,6,9,0.244546988035338
45,6,10,-0.465783051918134
46,6,11,0.297002467494018
47,7,8,-0.231357029949967
48,7,9,-0.220219470036823
49,7,11,-0.193775376933712
50,7,12,0.446957285396487
51,8,9,0.142946795432988
52,8,10,-0.263255209323585
53,8,11,0.335851317942968
54,8,12,-0.181672320039556
55,9,10,0.236451220796714
56,9,11,0.135251034198537
57,9,12,-0.723775750419409
58,10,11,0.223058155069537
59,10,12,-0.503956676598364
60,11,12,0.1480299913224
