epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.162469440107101,0.157354226460146,0.666666666666667,0.692307692307692,24,276,0.05,15
50,0.00018123962730818,0.000232371159515724,0.984126984126984,1,24,276,0.05,15
100,0.000374162777051767,0.000258513314801389,1,1,24,276,0.05,15
150,0.000282388113567809,0.000174833987688379,1,1,24,276,0.05,15
200,6.22868610905073E-05,3.06983545540588E-05,0.984126984126984,1,24,276,0.05,15
250,5.648316102997E-05,3.63824242254076E-05,1,1,24,276,0.05,15
300,6.50522751999263E-05,4.65097110672529E-05,1,1,24,276,0.05,15
350,6.91877939048206E-05,2.69395720329625E-05,1,1,24,276,0.05,15
400,0.000499831984480507,0.000417394507114285,0.984126984126984,1,24,276,0.05,15
