experiment,group,metric,n,k,rate,rate_pct,ci95_lo,ci95_hi,ci95_lo_pct,ci95_hi_pct
Exp01_CircleBoundary,all,canonical,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp01_CircleBoundary,all,structural,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp01_CircleBoundary,all,fidelity_pass,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp02_PiArea,all,canonical,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp02_PiArea,all,structural,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp02_PiArea,all,near_zero_b,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp02_PiArea,all,fidelity_pass,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp03_Circumference,improved,canonical,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp03_Circumference,improved,structural,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp03_Circumference,improved,near_zero_b,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp03_Circumference,raw,canonical,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp03_Circumference,raw,structural,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp03_Circumference,raw,near_zero_b,30,30,1.0,100.0,0.8864866068260312,1.0,88.64866068260312,100.0
Exp04_StochasticPi,N=100,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=100,structural,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=300,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=300,structural,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=1000,canonical,15,14,0.9333333333333333,93.33333333333333,0.7018347012621998,0.9881331045067316,70.18347012621999,98.81331045067316
Exp04_StochasticPi,N=1000,structural,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=3000,canonical,15,13,0.8666666666666667,86.66666666666667,0.6211801716767764,0.9626387408969347,62.11801716767764,96.26387408969347
Exp04_StochasticPi,N=3000,structural,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=10000,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp04_StochasticPi,N=10000,structural,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
