experiment,group,metric,n,mean,sd,median,min,max,ci95_lo,ci95_hi
Exp01_CircleBoundary,all,test_acc,30,0.9356512141280352,0.02737010631074142,0.927152317880795,0.887417218543046,0.996688741721854,0.9254310484678827,0.9458713797881877
Exp01_CircleBoundary,all,baseline_acc_no_quad,30,0.8201986754966887,0.04973467514701446,0.804635761589404,0.771523178807947,0.970198675496689,0.8016274425871229,0.8387699084062544
Exp01_CircleBoundary,all,R_hat,27,0.20616330301910837,0.014134021404970882,0.202308998487433,0.197424279670531,0.25498022289471,0.20057207036831698,0.21175453566989977
Exp01_CircleBoundary,all,R_err,27,0.17744478738612224,0.04927174527831547,0.190764006050267,0.00840210116566542,0.210302881317875,0.15795353411373753,0.19693604065850695
Exp01_CircleBoundary,all,rel_ab,30,0.007443895378494555,0.020937455714204346,0.0,0.0,0.0835377865534011,-0.00037427907329029304,0.015262069830279404
Exp01_CircleBoundary,all,fidelity_max,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp02_PiArea,all,k_canonical,30,3.141646694083705,1.781968788334779e-05,3.141648154497285,3.14158854498335,3.14169930171829,3.141640040102894,3.1416533480645157
Exp02_PiArea,all,pi_error,30,1.728881080341562e-05,5.3909957112112635e-06,1.766648754576625e-05,1.30781004785246e-06,3.39471536440997e-05,1.5275779921612738e-05,1.93018416852185e-05
Exp02_PiArea,all,test_rmse,30,20.62206939038689,1.7336613468975313,20.63352720937765,18.229618865459,24.6263039978054,19.974709604395038,21.269429176378743
Exp02_PiArea,all,val_loss,30,3.35547152660097e-09,5.261447106349482e-10,3.40963944606497e-09,2.24770505873095e-09,4.69329140235132e-09,3.1590058628270655e-09,3.5519371903748743e-09
Exp02_PiArea,all,b,30,9.7322160307769,2.602633736805327,9.73608614327009,3.29565791028913,20.094836817322,8.760376621720125,10.704055439833676
Exp02_PiArea,all,fidelity_max,30,3.597122599785507e-15,2.7656012941350183e-15,3.5527136788005e-15,4.44089209850063e-16,1.50990331349021e-14,2.5644301047293483e-15,4.6298150948416654e-15
Exp02_PiArea,all,pruned_neurons,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp02_PiArea,all,pruned_edges,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Exp03_Circumference,improved,k_canonical,30,6.624562417219606,0.003583049009385345,6.62583324460521,6.61715192755834,6.63081176021307,6.623224484731196,6.625900349708015
Exp03_Circumference,improved,two_pi_error,30,0.05433185452129465,0.0005702599611841432,0.0545341129815303,0.0531524384609737,0.0553264683497807,0.05411891595224106,0.054544793090348244
Exp03_Circumference,improved,test_rmse,30,4.3289814433186296,7.717939039818261,0.9246193407089536,0.611608189928474,21.297638202019,1.4470556427255734,7.210907243911686
Exp03_Circumference,improved,val_loss,30,0.00015720703208982272,0.00035302611343949233,1.89328620763487e-06,8.10575678950675e-07,0.000934817454114131,2.5384914895655152e-05,0.0002890291492839903
Exp03_Circumference,raw,k_canonical,30,6.6274026541417586,0.0011337587848921974,6.6274325745739695,6.62452768679943,6.63093684524968,6.6269793016538765,6.627826006629641
Exp03_Circumference,raw,two_pi_error,30,0.05478389226700751,0.0001804433148894977,0.05478865425169345,0.054326327003248,0.0553463762516642,0.05471651362589079,0.05485127090812422
Exp03_Circumference,raw,test_rmse,30,0.7490220481032314,0.1800348936229798,0.6918718201313154,0.611608189916628,1.43971167150761,0.681795913993819,0.8162481822126437
Exp03_Circumference,raw,val_loss,30,1.2066778166727062e-06,7.100036322539367e-07,9.683295759868314e-07,7.72231725059575e-07,4.38413336326575e-06,9.41558103268545e-07,1.4717975300768674e-06
Exp04_StochasticPi,N=100,k_canonical,15,3.1620598466177197,0.038229406530901344,3.16601414877659,3.08221016938747,3.20988599701348,3.1408891069359357,3.1832305862995036
Exp04_StochasticPi,N=100,pi_error,15,0.011535794214538897,0.007139715782251792,0.0101780342274854,0.000495387970235823,0.0217384463723042,0.007581951402310099,0.015489637026767696
Exp04_StochasticPi,N=100,test_rmse,15,19365.867449169476,5002.654628130607,19483.6279960342,9402.86611914417,27390.4696729817,16595.48965728782,22136.245241051132
Exp04_StochasticPi,N=300,k_canonical,15,3.142159896198144,0.034632896976965304,3.15956888555077,3.07177171100107,3.18764813765374,3.122980837121391,3.161338955274897
Exp04_StochasticPi,N=300,pi_error,15,0.00878186110647277,0.006239681834738133,0.00720666605331234,0.000489062325845207,0.0222246962886613,0.005326440481158596,0.012237281731786944
Exp04_StochasticPi,N=300,test_rmse,15,11414.571958529526,2714.702358197452,12515.3475309195,6140.31384079324,15147.2114509253,9911.219901717774,12917.92401534128
Exp04_StochasticPi,N=1000,k_canonical,14,3.1439107002950353,0.014052707678995408,3.146304124584375,3.10825264819187,3.15918945995207,3.13579690844562,3.1520244921444505
Exp04_StochasticPi,N=1000,pi_error,15,0.003759398758298496,0.0025501293442006965,0.00296806068277002,0.000838404330041685,0.0106124533235808,0.002347184198877806,0.005171613317719186
Exp04_StochasticPi,N=1000,test_rmse,15,6049.517447202346,1829.0485519025833,5178.58398866024,4258.18590826186,10419.9428609457,5036.624120533159,7062.410773871534
Exp04_StochasticPi,N=3000,k_canonical,13,3.1403511692839983,0.013638547563415196,3.14002949572739,3.11119787680396,3.16257930764088,3.132109477476323,3.1485928610916734
Exp04_StochasticPi,N=3000,pi_error,15,0.0035721899260801,0.0029181361161933596,0.0025996986975392,0.000497568601269403,0.00967495793928044,0.0019561800091590855,0.005188199843001114
Exp04_StochasticPi,N=3000,test_rmse,15,3557.615658871685,1094.9836883635191,3723.01373719194,2302.05077984552,5538.29184275199,2951.2339039415983,4163.9974138017715
Exp04_StochasticPi,N=10000,k_canonical,15,3.1397337105488554,0.00976839495297341,3.14130964128465,3.1214478867622,3.15815546700341,3.1343241537331856,3.145143267364525
Exp04_StochasticPi,N=10000,pi_error,15,0.002361998497671644,0.0020163892965302742,0.00156202049347996,9.00856146374592e-05,0.00641227843609046,0.0012453593246446655,0.0034786376706986226
Exp04_StochasticPi,N=10000,test_rmse,15,2624.457174464105,816.4078613035971,2527.55400971062,1451.66352344517,4340.87763457868,2172.3455704859066,3076.568778442303
Exp04_StochasticPi,N=30000,k_canonical,15,3.1407069261930713,0.0036640869896889146,3.1417032416132,3.13342831818615,3.14616273912266,3.1386778224514944,3.1427360299346483
Exp04_StochasticPi,N=30000,pi_error,15,0.0008821994857044366,0.0007820417881588442,0.000693864120399903,2.78633229562409e-05,0.00259878867309902,0.000449119178689863,0.0013152797927190102
Exp04_StochasticPi,N=30000,test_rmse,15,1409.8099056880412,292.64072228460054,1395.89591687744,946.67683828958,2112.14066024008,1247.750875376685,1571.8689359993975
Exp05_SyntheticRecovery,S1_noise0,max_rel_err,15,6.571478801899269e-06,2.5451227940508927e-05,4.79616346638068e-15,7.40148683083438e-16,9.85721819590779e-05,-7.5229414417088415e-06,2.066589904550738e-05
Exp05_SyntheticRecovery,S1_noise0,test_rmse,15,4.24748487558198e-06,1.6450438173400294e-05,3.60840511815556e-15,5.63194302445981e-16,6.37122730867498e-05,-4.862464135497461e-06,1.3357433886661421e-05
