kind,id,src,dst,funno,bias,weight
neuron,0,,,1,0,
neuron,1,,,1,0,
neuron,2,,,4,0.409749854947163,
neuron,3,,,1,0,
edge,,0,2,,-9.68187545474149
edge,,1,2,,-9.68187545474149
edge,,2,3,,1
