epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.00043711452051004,0.000441147418857485,0.996825396825397,1,24,276,0.05,6
50,8.75004190046229E-05,9.61778851972975E-05,0.990476190476191,1,24,276,0.05,6
100,1.73111843081456E-05,1.45034712026003E-05,1,1,24,276,0.05,6
150,1.08941946273252E-05,1.13673334766039E-05,0.996825396825397,1,24,276,0.05,6
200,7.33187020950664E-06,7.80154628666708E-06,0.996825396825397,1,24,276,0.05,6
250,2.0294880850797E-06,1.86742248696537E-06,1,1,24,276,0.05,6
300,1.77110026656579E-06,1.80497703262673E-06,1,1,24,276,0.05,6
350,3.28188396919066E-06,3.32300163996139E-06,1,1,24,276,0.05,6
400,1.17483004694663E-06,1.05395218416667E-06,1,1,24,276,0.05,6
