epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.0748481361383648,0.0733132754391668,0.698412698412698,0.769230769230769,24,276,0.05,13
50,0.000990209885953879,0.000713930442275247,1,1,24,276,0.05,13
100,0.00103738295042962,0.00116963335271325,1,1,24,276,0.05,13
150,0.00124585318781139,0.00141250745625201,0.984126984126984,1,24,276,0.05,13
200,0.00180518317752135,0.0010166659795125,1,0.923076923076923,24,276,0.05,13
250,0.00135754929726893,0.00166825809542669,0.984126984126984,1,24,276,0.05,13
300,0.00131185704529269,0.000724472693944084,1,0.923076923076923,24,276,0.05,13
350,0.00437633436094919,0.00502370782156032,0.984126984126984,0.846153846153846,24,276,0.05,13
400,0.00102880341905298,0.000772413133206896,1,0.923076923076923,24,276,0.05,13
