index,funno,ihono,bias
0,1,1,0
1,1,3,-0.317783593917298
2,1,3,-0.233528152338011
3,1,3,-0.0298120728921682
4,1,3,0.286536559826718
5,2,3,0.258109652991988
6,2,3,-0.163481174752122
7,2,3,-0.00963194346125415
8,2,3,0.172753148673547
9,2,3,-0.136603545368133
10,2,3,-0.119056038279118
11,4,3,0.366860752661407
12,4,3,-0.264609330854483
13,4,3,-0.424801190889728
14,4,3,0.466661739692704
15,4,3,0.242868745960848
16,7,3,-0.0797110747964706
17,7,3,-0.00323951632703643
18,7,3,0.186503314941471
19,7,3,0.51421284428987
20,7,3,0.341503861546725
21,7,3,-0.347668216842138
22,1,2,-0.279960461817736
