index,src,dst,weight
0,0,2,5.64552008289844
1,0,3,-2.11436072132897
2,0,4,0.704382352795533
3,0,5,3.97719715037417
4,0,10,0.567264601311653
5,0,12,0.603816895369355
6,0,17,0.739591775891104
7,0,18,0.630634752117789
8,0,19,0.425451552822169
9,1,3,-4.97051322352841
10,1,4,-4.27894330626955
11,1,5,-4.06580378511697
12,1,6,-0.429163127973506
13,1,7,-0.438715011029368
14,1,9,0.535656328133468
15,1,10,0.473681047809382
16,1,12,0.656457147359492
17,1,14,-0.417107890987011
18,1,16,-0.69756387722975
19,1,18,1.19715239556839
20,1,19,1.06360295595641
21,2,17,0.341046805525862
22,2,18,1.84387392695007
23,3,7,-0.436493601321575
24,3,15,-0.512472399594151
25,3,18,1.92791088938322
26,3,19,-0.779239271056825
27,4,10,-0.539816362726065
28,4,17,-0.898380154436066
29,4,18,1.44004320417854
30,4,19,-0.563528697642619
31,5,18,1.02281002956195
32,6,8,-0.429999032246786
33,6,11,-0.432200411755091
34,6,18,-0.428930670277479
35,7,18,-0.455792990802714
36,8,10,0.477504949542593
37,8,19,0.556247666916277
38,9,16,0.396314427949926
39,9,18,-0.878614778157203
40,10,18,-0.886112668921512
41,10,19,0.698018511974838
42,11,13,-0.456706400901612
43,11,17,0.432804110539653
44,12,15,0.448915625642138
45,13,14,-0.426530541774836
46,13,18,-0.440573607120531
47,13,19,0.546306353740489
48,14,18,-0.593814509087395
49,14,19,0.662094194996254
50,15,18,-0.887036069385902
51,15,19,0.459689574858809
52,16,18,-0.76400979816589
53,16,19,1.02180883035073
54,17,18,0.407328005353199
55,18,19,-2.82485483096667
