attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,96,0.00329967416209019,0.00331294590985811,0.00402213888886387,1,2000
2,138,96,96,0.00329967416209019,0.134444515039409,39.7447852227461,0,2000
3,69,96,8,0.00329967416209019,0.00326828674938136,-0.00951227641487573,1,2000
4,69,8,8,0.00329967416209019,0.137531880634263,40.6804429402032,0,2000
5,34,8,8,0.00329967416209019,0.131627000956476,38.8909087656995,0,2000
6,17,8,8,0.00329967416209019,0.131751448312402,38.9286238096138,0,2000
7,8,8,8,0.00329967416209019,0.131487131673868,38.8485199491872,0,2000
8,4,8,8,0.00329967416209019,0.147647211797061,43.7459974967752,0,2000
9,2,8,4,0.00329967416209019,0.00315196008133569,-0.0447662628181835,1,2000
10,2,4,4,0.00329967416209019,0.139666791754086,41.3274495884206,0,2000
11,1,4,2,0.00329967416209019,0.00355389893928571,0.0770454186405117,1,2000
12,1,2,2,0.00329967416209019,0.132803447974932,39.2474430659564,0,2000
