index,funno,ihono,bias
0,1,1,0
1,1,1,0
2,1,3,1.03114254869542
3,1,3,0.911828098800993
4,1,3,-1.40399784109514
5,1,3,2.40837866379485
6,1,3,3.72012755699116
7,1,3,-1.28218352322778
8,1,3,0.261356252900356
9,1,3,-0.655239544546333
10,1,3,-0.642005674901292
11,2,3,0.0701601863917377
12,2,3,-0.295497318400809
13,2,3,-0.280775083326805
14,2,3,-0.0803654348594268
15,2,3,0.223662736955951
16,2,3,-0.115689093511259
17,2,3,0.0217324722424904
18,2,3,-0.222226963770035
19,2,3,-0.0512652909669328
20,2,3,0.0544856633057577
21,2,3,0.117325242220567
22,2,3,0.048932341722226
23,2,3,-0.342767674606815
24,2,3,-0.291860197098659
25,4,3,-0.163325907453535
26,4,3,0.227136888551001
27,4,3,-0.168911571561428
28,4,3,0.0373060698792808
29,4,3,-0.463989736491309
30,4,3,0.134330893280988
31,4,3,0.0952334339998924
32,4,3,-0.0894257018572586
33,4,3,0.184728931187678
34,4,3,0.0961180128025114
35,4,3,-0.405354647533964
36,4,3,0.0200466429250339
37,4,3,0.193019277760605
38,4,3,0.325348238007057
39,4,3,-0.373542467215834
40,4,3,-0.148761886396973
41,4,3,-0.0115851306752108
42,4,3,-0.15431412842145
43,4,3,0.250667310012087
44,4,3,0.220573851733002
45,4,3,-0.17453684920231
46,4,3,-0.103626740821148
47,4,3,-0.0987385511955579
48,7,3,1.9539929186108
49,7,3,0.278623788696274
50,7,3,0.910071848702237
51,7,3,0.705634040028339
52,2,2,0.495078651593883
