model,description,mean_test_rmse,mean_neurons,mean_edges,mean_terms,quad_frac,canon_frac,n
A,lin/sig only + prune,13160.308999310279,5.933333333333334,12.4,17.333333333333332,0.0,0.0,15
B,mixed + prune,1179.34469577874,11.666666666666666,37.93333333333333,48.6,1.0,0.13333333333333333,15
C,square-linear only + prune,1075.8337940126132,17.8,114.73333333333333,131.53333333333333,1.0,0.3333333333333333,15
D,"mixed, no prune",1979.9031128742245,24.0,276.0,299.0,1.0,0.0,15
E,mixed + prune + Pass E,20.025313091500145,3.0,2.0,4.0,1.0,1.0,15
