epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.000214694183211452,0.00151201355175685,1,1,24,276,0.05,30
50,2.32437591910735E-06,0.000905203982974843,1,1,24,276,0.05,30
100,2.25251715720247E-06,0.000930008201022787,1,1,24,276,0.05,30
150,4.40435087213976E-06,0.000897388644521176,1,1,24,276,0.05,30
200,2.57981038895129E-06,0.000935436256018955,1,1,24,276,0.05,30
250,6.88853369373357E-06,0.000958904610303601,1,1,24,276,0.05,30
300,1.2983043038192E-06,0.000921837064926141,1,1,24,276,0.05,30
350,4.61886984208652E-06,0.000912345419392026,1,1,24,276,0.05,30
400,4.67982902491101E-06,0.000919430253517067,1,1,24,276,0.05,30
