attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,100,0.000244512238082555,0.000260208731900803,0.0641951255337528,1,2000
2,138,100,100,0.000244512238082555,0.124730319499113,509.118922787827,0,2000
3,69,100,13,0.000244512238082555,0.000261497334928624,0.0694652217789394,1,2000
4,69,13,13,0.000244512238082555,0.130009308120154,530.708797644144,0,2000
5,34,13,13,0.000244512238082555,0.126991613955041,518.367107965223,0,2000
6,17,13,13,0.000244512238082555,0.134231936153505,547.978395544291,0,2000
7,8,13,4,0.000244512238082555,0.000233492434968314,-0.0450685135462221,1,2000
8,8,4,4,0.000244512238082555,0.124420609607765,507.852279065706,0,2000
9,4,4,4,0.000244512238082555,0.124468158887019,508.046744911782,0,2000
10,2,4,2,0.000244512238082555,0.000224753047988717,-0.0808106385544853,1,2000
11,2,2,2,0.000244512238082555,0.124599207587114,508.582704588576,0,2000
12,1,2,2,0.000244512238082555,0.124828013690208,509.518470032827,0,2000
