index,src,dst,weight
0,0,1,-0.498095420850809
1,0,2,0.745345002903147
2,0,3,-0.652032504978669
3,0,4,-0.648440729258119
4,0,5,-0.866705588775239
5,0,6,0.8698479786364
6,0,10,0.37796393647304
7,0,11,0.910467491076789
8,1,3,0.341720564078843
9,1,5,0.376002533468812
10,1,9,0.406278444203933
11,2,4,-0.58090946523378
12,2,7,-0.42407465021843
13,2,11,0.456280732458442
14,3,5,0.570639485061147
15,3,6,-0.508027771873438
16,3,8,-0.367972050578736
17,3,9,0.508262027109144
18,4,7,0.336106512954331
19,4,8,0.549691258205263
20,4,9,0.368174308127084
21,4,11,-0.991487643261911
22,5,6,-0.440675422102687
23,5,8,0.514174140749833
24,5,11,-0.748749008174432
25,6,10,0.410087569592572
26,6,11,0.700732965699837
27,7,8,-0.420786697449282
28,7,11,-0.762087531398483
29,8,9,-0.347520744959009
30,8,11,-0.505134254472446
31,9,11,-0.507186990087157
32,10,11,0.420056574375633
