epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.000201834859151699,8.22269972571807E-06,1,1,24,276,0.05,23
50,0.00019565084163519,1.22212122815197E-05,1,1,24,276,0.05,23
100,0.000216145842525279,8.78345645590525E-05,1,1,24,276,0.05,23
150,0.000200583215718395,2.84186687176122E-06,1,1,24,276,0.05,23
200,0.000195814566973668,1.29190130185669E-05,1,1,24,276,0.05,23
250,0.000213619787350734,6.7813210815112E-05,1,1,24,276,0.05,23
300,0.00383859662449615,0.0053080133856217,1,1,24,276,0.05,23
350,0.00019608846571991,2.99023901281392E-06,1,1,24,276,0.05,23
400,0.000199219115365152,6.64963075902613E-06,1,1,24,276,0.05,23
