index,src,dst,weight
0,0,1,0.448185945888928
1,0,2,0.773191261767747
2,0,3,0.359745925260181
3,0,4,0.488391011674701
4,0,5,-0.544315163859613
5,0,14,-0.433546953787026
6,0,16,0.623355742707999
7,0,17,0.519112633698272
8,0,18,0.555620750975941
9,0,19,0.383682962412897
10,1,2,0.408260623659802
11,1,3,0.346600664051602
12,1,5,-0.438759079905269
13,1,6,0.414532770579876
14,1,8,0.402675261583711
15,1,13,0.317342190586718
16,1,15,0.272573314018206
17,1,16,0.313305908818449
18,1,17,-0.326672895609897
19,2,7,0.366558249225911
20,2,9,0.380773191666685
21,2,12,0.279532877539223
22,2,13,-0.375707397512291
23,2,14,-0.42695091863878
24,2,16,0.351417083556243
25,2,20,0.504610171432631
26,3,5,-0.473479182082514
27,3,7,0.405372074351805
28,3,8,0.41384004987544
29,3,14,-0.232748775261762
30,3,18,-0.307073940546158
31,4,8,0.339148654897803
32,4,11,-0.382075488860108
33,4,19,0.248761088148578
34,4,20,0.440483031455356
35,5,8,0.424019073711508
36,5,9,-0.463120157650507
37,5,11,0.308340977485193
38,5,13,0.330667188764122
39,5,16,0.384422242922295
40,5,19,0.446137295314987
41,6,7,-0.367450598322855
42,6,19,-0.305765973292936
43,7,9,0.377838368780985
44,7,13,-0.321677231996358
45,7,14,0.341273418214919
46,7,15,0.424656358800709
47,7,18,-0.3414602729967
48,8,10,0.433965276111366
49,8,11,-0.462152816099257
50,8,19,-0.338552817582838
51,9,10,-0.39134990274384
52,9,13,0.399175428732287
53,9,14,-0.276024101606685
54,9,15,-0.358214525679816
55,10,11,-0.489009398285723
56,10,14,-0.316360305628669
57,10,15,-0.356556416130307
58,10,16,-0.324010656495999
59,10,17,0.375290674871051
60,10,20,-0.331345566403084
61,11,13,0.301748903713835
62,11,16,-0.242951060938148
63,11,20,0.447961724439136
64,12,13,0.442546414935935
65,12,19,-0.338716254064305
66,12,20,-0.374953767708838
67,13,17,-0.291304080892097
68,13,18,0.457701262142938
69,13,19,0.314542746617749
70,14,15,-0.454753856665394
71,14,16,0.296507340650462
72,14,17,0.330128905911647
73,14,20,-0.516096890352186
74,15,17,0.27499977630878
75,16,17,0.201341170506039
76,16,18,-0.368132475250414
77,16,20,0.779777720646194
78,17,19,0.25059994319697
79,17,20,0.388560408259797
80,18,19,0.416333944690302
81,18,20,0.414138937304906
82,19,20,0.631829463023933
