epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.191640622505659,0.193286586074655,0.666666666666667,0.692307692307692,24,276,0.05,7
50,0.000546460063201665,0.000839298886326845,0.984126984126984,0.923076923076923,24,276,0.05,7
100,0.000402880623212072,0.000384141588043371,1,1,24,276,0.05,7
150,0.000325012831169148,0.00038627178515587,1,1,24,276,0.05,7
200,0.00029943780049073,0.000412164980070317,1,1,24,276,0.05,7
250,0.000391673417637467,0.000365125195648433,1,1,24,276,0.05,7
300,0.00038616242753153,0.000669597330552677,0.984126984126984,1,24,276,0.05,7
350,0.00127562396784649,0.000932591999590091,0.984126984126984,1,24,276,0.05,7
400,0.000282518475776356,0.000402960832721811,1,1,24,276,0.05,7
