seed,estimator,canonical,structural,near_zero_b,k_canonical,b,k_ols,two_pi_error,quad_contam,dense_neurons,pruned_neurons,dense_edges,pruned_edges,linear_hid,sq_linear,val_loss,test_rmse,fidelity_max,fidelity_pass,reason
1,improved,1,1,1,6.62752983462714,0.0128749488169175,6.62752983462717,0.0548041336699211,0,24,2,276,1,0,0,8.10575678950675E-07,21.2942088040414,1.77635683940025E-15,1,canonical C = b + k r
2,improved,1,1,1,6.61977255261522,1.53190058417865,6.61977255261523,0.0535695238927665,0,24,2,276,1,0,0,3.53209616375731E-06,1.36989185763104,3.5527136788005E-15,1,canonical C = b + k r
3,improved,1,1,1,6.62283509587469,1.47060913843055,6.62283509587468,0.054056942790944,0,24,2,276,1,0,0,2.00528255803498E-06,0.905461604027729,4.44089209850063E-15,1,canonical C = b + k r
4,improved,1,1,1,6.62736831951355,0.612257369236133,6.62736831951353,0.0547784277412082,0,24,9,276,23,7,0,1.63361877802312E-06,0.893746896594778,4.44089209850063E-15,1,canonical C = b + k r
5,improved,1,1,1,6.62740446121775,0.00105055758116706,6.62740446121775,0.0547841798720837,0,24,2,276,1,0,0,0.000933271186029647,0.611608189928474,2.66453525910038E-15,1,canonical C = b + k r
6,improved,1,1,1,6.62732383558288,0.0295202936228301,6.62732383558287,0.0547713479037551,0,24,2,276,1,0,0,8.18236136008835E-07,21.2831531436678,2.66453525910038E-15,1,canonical C = b + k r
7,improved,1,1,1,6.63081176021307,-0.850166907169651,6.63081176021308,0.0553264683497807,0,24,14,276,88,12,0,1.74676332112042E-06,0.767766121872317,1.06581410364015E-14,1,canonical C = b + k r
8,improved,1,1,1,6.62605730415768,-0.0305736868993836,6.62605730415766,0.0545697731668524,0,24,14,276,81,12,0,1.46395571543631E-06,0.809047907365034,7.105427357601E-15,1,canonical C = b + k r
9,improved,1,1,1,6.62401981135734,1.13953096233632,6.62401981135736,0.0542454961161642,0,24,2,276,1,0,0,1.44858066228996E-06,0.868815549425317,1.77635683940025E-15,1,canonical C = b + k r
10,improved,1,1,1,6.61956291845387,2.09565164961038,6.61956291845387,0.0535361595797464,0,24,2,276,1,0,0,2.64684201803771E-06,1.29237240006886,1.77635683940025E-15,1,canonical C = b + k r
11,improved,1,1,1,6.62758741132704,0.00462384729270204,6.62758741132705,0.0548132972863162,0,24,2,276,1,0,0,9.72512152807017E-07,21.297638202019,4.44089209850063E-15,1,canonical C = b + k r
12,improved,1,1,1,6.62716381303597,0.0487289457745464,6.627163813036,0.0547458795244084,0,24,2,276,1,0,0,0.000932396618188079,0.682884555526653,4.44089209850063E-15,1,canonical C = b + k r
13,improved,1,1,1,6.61715192755834,2.634063366813,6.61715192755838,0.0531524384609737,0,24,2,276,1,0,0,5.3293210623115E-06,1.50275729659003,4.44089209850063E-15,1,canonical C = b + k r
14,improved,1,1,1,6.62303119333288,1.38133802186298,6.62303119333286,0.0540881526707421,0,24,2,276,1,0,0,1.88625150554576E-06,0.824374222132951,8.88178419700125E-16,1,canonical C = b + k r
15,improved,1,1,1,6.62560918505274,0.892535142791945,6.62560918505275,0.0544984527962082,0,24,14,276,59,12,0,1.66598400591206E-06,0.729574706408892,4.44089209850063E-15,1,canonical C = b + k r
16,improved,1,1,1,6.62218256022013,1.62720237211788,6.62218256022012,0.0539530885159763,0,24,2,276,1,0,0,1.90032090972398E-06,0.953990530179245,8.88178419700125E-16,1,canonical C = b + k r
17,improved,1,1,1,6.62080697672959,1.78734904584025,6.6208069767296,0.0537341576038208,0,24,2,276,1,0,0,2.51140281184746E-06,1.13098907714678,3.5527136788005E-15,1,canonical C = b + k r
18,improved,1,1,1,6.61901372152547,2.25284353762667,6.61901372152548,0.0534487521738596,0,24,2,276,1,0,0,3.30005470396456E-06,1.28582672693641,5.32907051820075E-15,1,canonical C = b + k r
