N,seed,canonical,structural,near_zero_b,k_canonical,b,k_ols,pi_error,dense_neurons,pruned_neurons,dense_edges,pruned_edges,sq_linear,test_rmse,fidelity_max,fidelity_pass,reason
1000,1,1,1,1,3.15598469778368,-139.16277333165,3.15598469778368,0.00458112994930817,24,3,276,2,1,4258.18590826186,4.44089209850063E-16,1,canonical A = b + k r^2
1000,2,1,1,1,3.13359690021029,-685.270373054284,3.13359690021029,0.00254512734818424,24,3,276,2,1,4708.58687668568,5.32907051820075E-15,1,canonical A = b + k r^2
1000,3,1,1,1,3.14559882677621,-146.878294465685,3.14559882677621,0.001275204531001,24,3,276,2,1,5433.65127002908,7.99360577730113E-15,1,canonical A = b + k r^2
1000,4,1,1,1,3.15815592451612,-730.843118978225,3.15815592451612,0.00527225288338939,24,3,276,2,1,6458.17718432792,2.22044604925031E-15,1,canonical A = b + k r^2
1000,5,1,1,1,3.14613698584561,525.258840680527,3.14613698584561,0.00144650588312866,24,3,276,2,1,4586.76398854039,3.99680288865056E-15,1,canonical A = b + k r^2
1000,6,0,1,0,null,0,3.16025921708421,0.00594175170135093,24,21,276,193,12,10419.9428609457,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
1000,7,1,1,1,3.15918945995207,-1534.44713763561,3.15918945995207,0.00560123743037322,24,3,276,2,1,5858.24918738918,6.66133814775094E-15,1,canonical A = b + k r^2
1000,8,1,1,1,3.14647126332314,-3103.00219902059,3.14647126332314,0.00155290970895727,24,3,276,2,1,5177.74489311225,6.21724893790088E-15,1,canonical A = b + k r^2
1000,9,1,1,1,3.12923371228014,973.744349893643,3.12923371228014,0.00393397320162885,24,3,276,2,1,4797.21072094782,2.66453525910038E-15,1,canonical A = b + k r^2
1000,10,1,1,1,3.14422657847379,-171.996471769895,3.14422657847379,0.000838404330041685,24,3,276,2,1,7988.71245460408,4.44089209850063E-16,1,canonical A = b + k r^2
1000,11,1,1,1,3.14877074772094,-2512.84137805569,3.14877074772094,0.00228485832590293,24,3,276,2,1,8954.76025817553,1.02140518265514E-14,1,canonical A = b + k r^2
1000,12,1,1,1,3.13226821595339,-1500.47414780712,3.13226821595339,0.00296806068277002,24,3,276,2,1,5178.58398866024,1.15463194561016E-14,1,canonical A = b + k r^2
1000,13,1,1,1,3.15772441876653,-1634.7835413311,3.15772441876653,0.005134900337351,24,3,276,2,1,7313.9663926204,1.33226762955019E-15,1,canonical A = b + k r^2
1000,14,1,1,1,3.10825264819187,2136.69307892664,3.10825264819187,0.0106124533235808,24,3,276,2,1,4896.7399755225,9.76996261670138E-15,1,canonical A = b + k r^2
1000,15,1,1,1,3.14913942433672,1394.71636076099,3.14913942433672,0.00240221173750928,24,3,276,2,1,4711.48574821257,4.88498130835069E-15,1,canonical A = b + k r^2
