index,funno,ihono,bias
0,1,1,0
1,1,3,-0.111515774417776
2,1,3,-0.37122703494296
3,1,3,-0.0276942069276342
4,1,3,0.238297732195118
5,1,3,0.182898318265024
6,2,3,-0.0729302882784221
7,2,3,-0.163837503956292
8,2,3,0.438170885651069
9,2,3,-0.415392398918262
10,2,3,0.104957251701209
11,2,3,-0.504808849876815
12,4,3,-0.271365052318964
13,4,3,-0.193857651264542
14,4,3,0.442203611043374
15,4,3,0.149729698957954
16,4,3,0.105399452347905
17,7,3,-0.13331689608849
18,7,3,0.0415960185210901
19,7,3,0.239802086117501
20,7,3,0.276604391820058
21,7,3,0.526443006818529
22,7,3,-0.286174804313879
23,1,2,-0.366522480651924
