r,A,r_scaled,A_scaled
90,25448,0.75,1.76722222222222
110,38024,0.916666666666667,2.64055555555556
120,45244,1,3.14194444444444
100,31428,0.833333333333333,2.1825
80,20108,0.666666666666667,1.39638888888889
