index,funno,ihono,bias
0,1,1,0
1,1,1,0
2,1,3,0.669307715406548
3,1,3,-4.12652925720845
4,1,3,0.688832703262636
5,1,3,-1.58362350869757
6,2,3,-0.237966522177758
7,2,3,-0.165455625193043
8,2,3,0.464640085368825
9,2,3,-0.0533426772621111
10,2,3,-0.26084332414066
11,2,3,0.37298945877117
12,4,3,1.2593664648441
13,4,3,0.102793807159424
14,4,3,-1.11760430889091
15,4,3,-0.780507084361005
16,4,3,-0.0260946567869077
17,4,3,0.0294539935968021
18,4,3,0.0523451173985403
19,4,3,-0.212979616872447
20,4,3,-0.569082746217361
21,4,3,0.108115483656652
22,7,3,-1.53340564606948
23,7,3,1.97309704478846
24,2,2,0.470226639766535
