N,n_seeds,canonical_count,canonical_pct,mean_k,std_k,ci95_lo,ci95_hi,mean_pi_error,mean_abs_b
100,15,15,1,3.16205984661772,0.0382294065308728,3.14271309758667,3.18140659564877,0.0115357942145389,2369.78506957059
300,15,15,1,3.14215989619815,0.0346328969769242,3.12463323212373,3.15968656027256,0.00878186110647276,1342.44736587665
1000,15,14,0.933333,3.14391070029503,0.0140527076790818,3.13654944184621,3.15127195874386,0.00360351640522332,1146.00747104744
3000,15,13,0.866667,3.140351169284,0.0136385475632864,3.13293717037461,3.14776516819339,0.003193338336305,434.740719727786
10000,15,15,1,3.13973371054886,0.00976839495317643,3.13479022063507,3.14467720046264,0.00236199849767164,356.612561716586
30000,15,15,1,3.14070692619307,0.00366408698902065,3.13885264233577,3.14256121005038,0.000882199485704436,176.644529835395
