index,funno,ihono,bias
0,1,1,0
1,1,3,-0.136744642536753
2,1,3,0.163950389900223
3,1,3,0.394703586517633
4,2,3,-0.0408660637023298
5,2,3,-0.0262769200468236
6,2,3,-0.0640350710776508
7,2,3,0.0813878147448811
8,2,3,0.418245747697615
9,4,3,-0.194179526297113
10,4,3,0.387602302516861
11,4,3,-0.501038378239927
12,4,3,0.0546784264481395
13,4,3,0.00612126977215941
14,7,3,0.039424451023645
15,7,3,-0.03614247735873
16,7,3,-0.0195403670472234
17,7,3,-0.24391958708863
18,7,3,0.0390072748634839
19,7,3,0.134203835890719
20,1,2,0.19467947664353
