attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,110,7.72829116105929E-05,5.97381626610566E-05,-0.227019771692085,1,10000
2,138,110,110,7.72829116105929E-05,0.34285153689724,4435.31754746475,0,10000
3,69,110,110,7.72829116105929E-05,0.000103637944051416,0.34102018016116,0,10000
4,34,110,110,7.72829116105929E-05,0.000119171382730415,0.542014660768566,0,10000
5,17,110,110,7.72829116105929E-05,0.000123983203453933,0.604277075877392,0,10000
6,8,110,88,7.72829116105929E-05,5.02372486682989E-05,-0.349956573564019,1,10000
7,8,88,88,7.72829116105929E-05,0.000133724209503406,0.730320541974464,0,10000
8,4,88,84,7.72829116105929E-05,5.00284539852813E-05,-0.352658266327221,1,10000
9,4,84,80,7.72829116105929E-05,2.92986724924148E-05,-0.620890674512333,1,10000
10,4,80,80,7.72829116105929E-05,0.000109982685372924,0.423117777020313,0,10000
11,2,80,78,7.72829116105929E-05,3.23853261364122E-05,-0.580951008942406,1,10000
12,2,78,76,7.72829116105929E-05,3.57050850105749E-05,-0.537995084987443,1,10000
13,2,76,74,7.72829116105929E-05,1.50343893164275E-05,-0.80546295418861,1,10000
14,2,74,72,7.72829116105929E-05,3.59329975852277E-05,-0.535046016818258,1,10000
15,2,72,70,7.72829116105929E-05,1.40632843595081E-05,-0.818028538697286,1,10000
16,2,70,68,7.72829116105929E-05,8.7437424041288E-06,-0.886860598004044,1,10000
17,2,68,63,7.72829116105929E-05,2.80354848976864E-05,-0.637235653866803,1,10000
18,2,63,61,7.72829116105929E-05,9.01665772426465E-06,-0.883329218111022,1,10000
19,2,61,59,7.72829116105929E-05,1.31245859665835E-05,-0.830174799408249,1,10000
20,2,59,54,7.72829116105929E-05,7.28598829883132E-05,-0.0572316509575383,1,10000
21,2,54,52,7.72829116105929E-05,8.30032165206376E-05,0.0740177199698126,1,10000
22,2,52,50,7.72829116105929E-05,2.05686352201436E-05,-0.733852739350929,1,10000
23,2,50,48,7.72829116105929E-05,1.73270983467821E-05,-0.775796511988465,1,10000
24,2,48,46,7.72829116105929E-05,2.27989784401089E-05,-0.704993277750887,1,10000
25,2,46,44,7.72829116105929E-05,3.16703234317255E-05,-0.59020276576401,1,10000
26,2,44,42,7.72829116105929E-05,8.38400589401836E-06,-0.891515398174139,1,10000
27,2,42,38,7.72829116105929E-05,3.77157114571131E-05,-0.511978642223625,1,10000
28,2,38,33,7.72829116105929E-05,3.526748722689E-05,-0.543657368855445,1,10000
29,2,33,30,7.72829116105929E-05,2.19258223761656E-05,-0.716291455391281,1,10000
30,2,30,28,7.72829116105929E-05,1.68724273537651E-05,-0.781679714154915,1,10000
31,2,28,24,7.72829116105929E-05,1.07355065873875E-05,-0.861088222950493,1,10000
32,2,24,19,7.72829116105929E-05,3.18641865756444E-05,-0.587694279219199,1,10000
33,2,19,14,7.72829116105929E-05,2.73184469359537E-05,-0.6465137458381,1,10000
34,2,14,11,7.72829116105929E-05,2.31902827326308E-05,-0.699930007173122,1,10000
35,2,11,8,7.72829116105929E-05,3.11881598354772E-05,-0.596441707674969,1,10000
36,2,8,4,7.72829116105929E-05,1.15415899516284E-05,-0.850657930568361,1,10000
37,2,4,2,7.72829116105929E-05,8.21736759076191E-06,-0.893671609680456,1,10000
38,2,2,2,7.72829116105929E-05,0.35258909830504,4561.3164417205,0,10000
39,1,2,2,7.72829116105929E-05,0.353532885305736,4573.52854632458,0,10000
