index,src,dst,weight
0,0,1,-0.605904743615725
1,0,2,-0.878226481943615
2,0,5,-0.670832850307683
3,0,6,-0.771079471424085
4,0,9,0.368468754324438
5,0,10,-0.644903765895607
6,0,12,0.455387795329332
7,1,2,0.411690090094571
8,1,10,-0.379970160778546
9,1,12,-0.438786022720747
10,2,3,-0.362527556002376
11,2,5,-0.370167281989403
12,2,10,-0.367417546946464
13,2,11,0.445950759333507
14,2,12,-0.512766936504129
15,3,4,0.42781975695145
16,4,7,-0.457403284721971
17,5,7,0.44228499908933
18,5,8,-0.42923025417499
19,5,10,-0.520728354110476
20,5,12,-0.623929681461948
21,6,8,-0.371815697052239
22,6,12,-0.791541524763376
23,7,10,0.459512416206469
24,8,11,0.406513622583161
25,9,10,-0.434057844218086
26,10,11,-0.354594246407599
27,10,12,-0.862122677536866
28,11,12,0.379338246208283
