index,funno,ihono,bias
0,1,1,0
1,1,3,-0.0142743792556095
2,1,3,0.11262475895771
3,7,3,0.0358415251593361
4,7,3,-0.0909820806782742
5,7,3,-0.400060650987456
6,7,3,-0.328740876597451
7,7,3,0.374321061473926
8,7,3,-0.476224280754525
9,7,3,0.18094339379183
10,7,3,0.200421790353158
11,7,3,0.0442787728744328
12,7,3,-0.215680483853674
13,7,3,0.168482656147914
14,1,2,-0.157745169162333
