problem,noise,seed,structure_ok,canonical,max_rel_err,test_rmse,test_acc,dense_n,pruned_n,dense_e,pruned_e,fidelity_max,reason
S1,0.1,9,1,1,0.0212691218916524,0.115067395595002,null,24,2,276,1,5.32907051820075E-15,polynomial reduced; structure OK
S1,0.1,10,1,1,0.0174311157856708,0.083910221374086,null,24,2,276,1,9.76996261670138E-15,polynomial reduced; structure OK
S2,0,1,1,1,1.30614473485313E-16,1.92034818798021E-16,null,24,3,276,2,4.44089209850063E-16,polynomial reduced; structure OK
S2,0,2,1,1,1.17553026136781E-15,5.95375170013579E-16,null,24,3,276,2,1.77635683940025E-15,polynomial reduced; structure OK
S2,0,3,1,1,5.55111512312578E-16,3.25694445598121E-16,null,24,3,276,2,4.44089209850063E-16,polynomial reduced; structure OK
S2,0,4,1,1,6.66133814775094E-15,1.98706425197183E-15,null,24,3,276,2,2.66453525910038E-15,polynomial reduced; structure OK
S2,0,5,1,1,2.08166817117217E-15,8.65139652333427E-16,null,24,3,276,2,2.88657986402541E-15,polynomial reduced; structure OK
S2,0,6,1,1,3.7470027081099E-15,1.19545263712242E-15,null,24,3,276,2,3.10862446895044E-15,polynomial reduced; structure OK
S2,0,7,1,1,3.19189119579733E-15,8.91772584283549E-16,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0,8,1,1,2.22044604925031E-15,7.611965650035E-16,null,24,3,276,2,8.88178419700125E-16,polynomial reduced; structure OK
S2,0,9,1,1,2.08166817117217E-15,5.19839486786922E-16,null,24,3,276,2,1.33226762955019E-15,polynomial reduced; structure OK
S2,0,10,1,1,1.38777878078145E-15,4.70316107439561E-16,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.01,1,1,1,0.00287837452698878,0.0106178350311605,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.01,2,1,1,0.000498733331498681,0.00928524917939121,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.01,3,1,1,0.000567287679312106,0.0104037893080776,null,24,3,276,2,4.88498130835069E-15,polynomial reduced; structure OK
S2,0.01,4,1,1,0.00157728257905015,0.0095942242507425,null,24,3,276,2,4.44089209850063E-15,polynomial reduced; structure OK
S2,0.01,5,1,1,0.00249733918115009,0.0106583296755598,null,24,3,276,2,7.105427357601E-15,polynomial reduced; structure OK
S2,0.01,6,1,1,0.00179272718597939,0.0101363861608895,null,24,3,276,2,8.88178419700125E-16,polynomial reduced; structure OK
S2,0.01,7,1,1,0.00165844973621612,0.00950938305991652,null,24,3,276,2,3.10862446895044E-15,polynomial reduced; structure OK
S2,0.01,8,1,1,0.00199494245421428,0.0100219187643134,null,24,3,276,2,4.88498130835069E-15,polynomial reduced; structure OK
S2,0.01,9,1,1,0.00506203157765561,0.0108537413140412,null,24,3,276,2,1.77635683940025E-15,polynomial reduced; structure OK
S2,0.01,10,1,1,0.00862673538375491,0.00982379906640089,null,24,3,276,2,5.77315972805081E-15,polynomial reduced; structure OK
S2,0.02,1,1,1,0.0236598124620492,0.0208320824717835,null,24,3,276,2,8.43769498715119E-15,polynomial reduced; structure OK
S2,0.02,2,1,1,0.0139153050132279,0.0213401686950534,null,24,3,276,2,6.21724893790088E-15,polynomial reduced; structure OK
S2,0.02,3,1,1,0.0067360289703855,0.0196116689494363,null,24,3,276,2,4.44089209850063E-15,polynomial reduced; structure OK
S2,0.02,4,1,1,0.00424793725118958,0.020337669371659,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.02,5,1,1,0.0160702302751772,0.022133860113928,null,24,3,276,2,1.33226762955019E-15,polynomial reduced; structure OK
