attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,149,299,299,3.351690202781E-06,7.99382856144329E-05,22.8501415041598,0,2000
2,74,299,299,3.351690202781E-06,8.85333379032669E-06,1.64145349202644,0,2000
3,37,299,299,3.351690202781E-06,4.85243817930052E-06,0.447758559330545,0,2000
4,18,299,299,3.351690202781E-06,4.30377278367321E-06,0.284060436165084,0,2000
5,9,299,290,3.351690202781E-06,3.59443513439368E-06,0.0724246326260312,1,2000
6,9,290,281,3.351690202781E-06,2.93759477660538E-06,-0.123548240178054,1,2000
7,9,281,272,3.351690202781E-06,3.60532029944047E-06,0.07567229705449,1,2000
8,9,272,272,3.351690202781E-06,8.25558936271529E-06,1.46311229953931,0,2000
9,4,272,272,3.351690202781E-06,6.32422149621077E-06,0.88687531173477,0,2000
10,2,272,272,3.351690202781E-06,5.6746681014778E-06,0.693076554858608,0,2000
11,1,272,271,3.351690202781E-06,3.29316249796045E-06,-0.0174621463439509,1,2000
12,1,271,270,3.351690202781E-06,3.1158588552359E-06,-0.0703619169067055,1,2000
13,1,270,270,3.351690202781E-06,1.29030966973903E-05,2.84972832115695,0,2000
