index,funno,ihono,bias
0,1,1,0
1,1,3,0.0891072523325734
2,1,3,-0.226034329810819
3,1,3,-0.170571223741669
4,2,3,-0.283046676259379
5,2,3,0.295410625384045
6,2,3,0.0327077574177158
7,4,3,-0.0272935818222422
8,4,3,-0.0541659253516617
9,4,3,0.452883740974518
10,4,3,-0.322190793118825
11,7,3,-0.237723536418004
12,7,3,0.232184204250123
13,7,3,-0.290804051368995
14,7,3,0.0792946375027453
15,7,3,0.0709754433136824
16,7,3,-0.615288684840568
17,7,3,-0.349312328913209
18,7,3,0.387674616738585
19,7,3,0.307413521694112
20,7,3,-0.0755975464366015
21,7,3,0.379453524798185
22,7,3,0.303693686222955
23,1,2,-0.172302009783785
