N,seed,canonical,structural,near_zero_b,k_canonical,b,k_ols,pi_error,dense_neurons,pruned_neurons,dense_edges,pruned_edges,sq_linear,test_rmse,fidelity_max,fidelity_pass,reason
100,1,1,1,1,3.19151556452437,-1659.91764118139,3.19151556452438,0.01589095609755,24,3,276,2,1,12281.2254271454,3.5527136788005E-15,1,canonical A = b + k r^2
100,2,1,1,1,3.08221016938747,-2020.16662763278,3.08221016938747,0.0189020317877536,24,3,276,2,1,27390.4696729817,6.66133814775094E-15,1,canonical A = b + k r^2
100,3,1,1,1,3.18983854260967,-1526.65777492736,3.18983854260967,0.0153571434427517,24,3,276,2,1,19483.6279960342,8.88178419700125E-16,1,canonical A = b + k r^2
100,4,1,1,1,3.15131577243997,-2136.00460475398,3.15131577243997,0.00309496485455158,24,3,276,2,1,16398.8476107446,1.33226762955019E-15,1,canonical A = b + k r^2
100,5,1,1,1,3.13340839154465,655.277437301101,3.13340839154465,0.00260513152008718,24,4,276,4,2,9402.86611914417,3.10862446895044E-15,1,canonical A = b + k r^2
100,6,1,1,1,3.20988599701348,-1762.91970501356,3.20988599701348,0.0217384463723042,24,3,276,2,1,25070.1824364165,1.38777878078145E-17,1,canonical A = b + k r^2
100,7,1,1,1,3.1636403347179,3416.69184827191,3.1636403347179,0.00701799487050381,24,3,276,2,1,21812.180796377,1.55431223447522E-15,1,canonical A = b + k r^2
100,8,1,1,1,3.16836489080163,-2417.03095274948,3.16836489080163,0.0085218677797863,24,3,276,2,1,16318.7866196433,1.06581410364015E-14,1,canonical A = b + k r^2
100,9,1,1,1,3.16601414877659,-3500.85863595628,3.16601414877659,0.00777360335334824,24,3,276,2,1,21156.8112479992,3.5527136788005E-15,1,canonical A = b + k r^2
100,10,1,1,1,3.20648594956165,-1293.56941565028,3.20648594956165,0.0206561776548934,24,3,276,2,1,17584.1929696684,2.22044604925031E-15,1,canonical A = b + k r^2
100,11,1,1,1,3.15877012693674,-131.427603882799,3.15877012693674,0.00546775958599271,24,3,276,2,1,24650.2600693284,3.10862446895044E-15,1,canonical A = b + k r^2
100,12,1,1,1,3.17356789114685,3640.96090504251,3.17356789114685,0.0101780342274854,24,5,276,6,3,23908.0907562284,7.54951656745106E-15,1,canonical A = b + k r^2
100,13,1,1,1,3.09241390707179,6418.83970835519,3.09241390707179,0.0156540812068066,24,3,276,2,1,14841.5681487498,5.32907051820075E-15,1,canonical A = b + k r^2
100,14,1,1,1,3.20342966635121,-2092.89504261023,3.20342966635121,0.0196833324940329,24,3,276,2,1,18785.0369760177,2.66453525910038E-15,1,canonical A = b + k r^2
100,15,1,1,1,3.14003634638182,-2873.55814022996,3.14003634638182,0.000495387970235823,24,3,276,2,1,21403.8648910634,8.88178419700125E-15,1,canonical A = b + k r^2
