epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.11181965532989,0.108295751350253,0.666666666666667,0.692307692307692,24,276,0.05,11
50,0.000848222458317207,0.000907546001361249,0.968253968253968,1,24,276,0.05,11
100,0.000839882412014374,0.000597528432942343,0.984126984126984,1,24,276,0.05,11
150,0.00104142507884991,0.000586860786323011,0.984126984126984,1,24,276,0.05,11
200,0.000649176305873189,0.000914474001784752,0.984126984126984,1,24,276,0.05,11
250,0.000614246588449232,0.000804494339266069,0.984126984126984,1,24,276,0.05,11
300,0.000810413703377079,0.000459918087155386,0.984126984126984,1,24,276,0.05,11
350,0.00067910641669566,0.000862001104773981,0.968253968253968,1,24,276,0.05,11
400,0.000704760113558522,0.000479981007770909,1,1,24,276,0.05,11
