kind,id,src,dst,funno,bias,weight
neuron,0,,,1,0,
neuron,1,,,1,0,
neuron,2,,,4,0.404027361090207,
neuron,3,,,1,0,
edge,,0,2,,-9.70738385308375
edge,,1,2,,-9.70738385308375
edge,,2,3,,1
