index,funno,ihono,bias
0,1,1,0
1,1,1,0
2,1,3,-0.191550668526761
3,1,3,0.294619504012988
4,1,3,0.0593016694990599
5,2,3,-0.490206005525655
6,2,3,-0.13720492349173
7,2,3,0.160406832346722
8,4,3,-0.490478110865641
9,4,3,0.38564724364324
10,4,3,0.304568344486527
11,7,3,0.443544088085364
12,7,3,-0.0541341345381328
13,7,3,0.425413463660021
14,7,3,0.185241529324775
15,7,3,-0.0386160707976761
16,7,3,0.424945664670124
17,7,3,0.0499709605818172
18,7,3,0.128626023363567
19,7,3,-0.0694886901141541
20,7,3,0.339590406373576
21,7,3,-0.392354932112184
22,7,3,0.355074789812163
23,7,3,0.0451683192725118
24,1,2,-0.118212174569768
