attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,138,0.000402279319666898,0.000408100428644832,0.0144703162537772,1,10000
2,138,138,138,0.000402279319666898,0.351605900786083,873.034243364102,0,10000
3,69,138,61,0.000402279319666898,0.000438125401801982,0.089107444461141,1,10000
4,69,61,61,0.000402279319666898,0.352387812976466,874.977948029384,0,10000
5,34,61,15,0.000402279319666898,0.000370904290430209,-0.0779931448195461,1,10000
6,34,15,15,0.000402279319666898,0.352335736767743,874.848495168705,0,10000
7,17,15,15,0.000402279319666898,0.394926273424188,980.721540523637,0,10000
8,8,15,4,0.000402279319666898,0.000367755020394664,-0.0858217103996819,1,10000
9,8,4,4,0.000402279319666898,0.362240403868218,899.469863000081,0,10000
10,4,4,4,0.000402279319666898,0.373467904636597,927.379577020868,0,10000
11,2,4,2,0.000402279319666898,0.000364454683527747,-0.0940258031918503,1,10000
12,2,2,2,0.000402279319666898,0.364651305571303,905.462966759632,0,10000
13,1,2,2,0.000402279319666898,0.353126393646841,876.813937686985,0,10000
