epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.105528362540994,0.0966391893171799,0.666666666666667,0.692307692307692,24,276,0.05,5
50,0.000221107069947756,0.000278274245115302,1,1,24,276,0.05,5
100,0.00023675704841783,0.000278955517431074,0.984126984126984,1,24,276,0.05,5
150,0.000127496696944913,0.000102437276189267,1,1,24,276,0.05,5
200,0.000154471851942436,9.81887400311153E-05,1,1,24,276,0.05,5
250,0.000118597843467995,6.89165594937852E-05,1,1,24,276,0.05,5
300,0.000131984505047778,5.51909664758224E-05,1,1,24,276,0.05,5
350,0.000183861020123418,0.000133515695762383,0.984126984126984,1,24,276,0.05,5
400,0.000123996423320343,5.49931181631748E-05,1,1,24,276,0.05,5
